,word,expected_information,expected_nb_words
5277,porto,4.081824859775642,483.94637159356597
2279,genen,4.081716929551708,483.9825777165656
6305,smogs,4.081461665677288,484.0682189606769
1302,donna,4.079224990794627,484.81927369624793
2141,fælle,4.078211317268263,485.1600395139031
3039,indøv,4.07740988892942,485.4296245683096
7800,visks,4.077293978710876,485.46862693030056
4629,neden,4.0770187829027895,485.56123948540767
3744,kælks,4.075601053327807,486.03863274039685
3352,kiosk,4.074314698137685,486.4721943149145
1619,enhed,4.073342037348833,486.800283035295
1114,comal,4.073134732279992,486.8702378172432
4461,mugge,4.0709824353087685,487.5971214265366
7483,ufede,4.069677847216718,488.03824105101245
6707,suses,4.069435184177358,488.1203365736528
